A440 一	A441 乙	A442 丁	
A443 七	A444 乃	A445 九	A446 了	A447 二	A448 人	A449 儿	A44A 入	A44B 八	A44C 几	
A44D 刀	A44E 刁	A44F 力	A450 匕	A451 十	A452 卜	A453 又	A454 三	A455 下	A456 丈	
A457 上	A458 丫	A459 丸	A45A 凡	A45B 久	A45C 么	A45D 也	A45E 乞	A45F 于	A460 亡	
A461 兀	A462 刃	A463 勺	A464 千	A465 叉	A466 口	A467 土	A468 士	A469 夕	A46A 大	
A46B 女	A46C 子	A46D 孑	A46E 孓	A46F 寸	A470 小	A471 尢	A472 尸	A473 山	A474 川	
A475 工	A476 己	A477 已	A478 巳	A479 巾	A47A 干	A47B 廾	A47C 弋	A47D 弓	A47E 才	
A47F ?	A480 ?	A481 ?	A482 ?	A483 ?	A484 ?	A485 ?	A486 ?	A487 ?	A488 ?	
A489 ?	A48A ?	A48B ?	A48C ?	A48D ?	A48E ?	A48F ?	A490 ?	A491 ?	A492 ?	
A493 ?	A494 ?	A495 ?	A496 ?	A497 ?	A498 ?	A499 ?	A49A ?	A49B ?	A49C ?	
A49D ?	A49E ?	A49F ?	A4A0 ?	A4A1 丑	A4A2 丐	A4A3 不	A4A4 中	A4A5 丰	A4A6 丹	
A4A7 之	A4A8 尹	A4A9 予	A4AA 云	A4AB 井	A4AC 互	A4AD 五	A4AE 亢	A4AF 仁	A4B0 什	
A4B1 仃	A4B2 仆	A4B3 仇	A4B4 仍	A4B5 今	A4B6 介	A4B7 仄	A4B8 元	A4B9 允	A4BA 內	
A4BB 六	A4BC 兮	A4BD 公	A4BE 冗	A4BF 凶	A4C0 分	A4C1 切	A4C2 刈	A4C3 勻	A4C4 勾	
A4C5 勿	A4C6 化	A4C7 匹	A4C8 午	A4C9 升	A4CA 卅	A4CB 卞	A4CC 厄	A4CD 友	A4CE 及	
A4CF 反	A4D0 壬	A4D1 天	A4D2 夫	A4D3 太	A4D4 夭	A4D5 孔	A4D6 少	A4D7 尤	A4D8 尺	
A4D9 屯	A4DA 巴	A4DB 幻	A4DC 廿	A4DD 弔	A4DE 引	A4DF 心	A4E0 戈	A4E1 戶	A4E2 手	
A4E3 扎	A4E4 支	A4E5 文	A4E6 斗	A4E7 斤	A4E8 方	A4E9 日	A4EA 曰	A4EB 月	A4EC 木	
A4ED 欠	A4EE 止	A4EF 歹	A4F0 毋	A4F1 比	A4F2 毛	A4F3 氏	A4F4 水	A4F5 火	A4F6 爪	
A4F7 父	A4F8 爻	A4F9 片	A4FA 牙	A4FB 牛	A4FC 犬	A4FD 王	A4FE 丙	A4FF ?	A500 ? 	
A501 ?	A502 ?	A503 ?	A504 ?	A505 ?	A506 ?	A507 ?	A508 ?	A509 ?	A50A ?
	
A50B ?	A50C ?	A50D ?	A50E ?	A50F ?	A510 ?	A511 ?	A512 ?	A513 ?	A514 ?	
A515 ?	A516 ?	A517 ?	A518 ?	A519 ?	A51A ?	A51B ?	A51C ?	A51D ?	A51E ?	
A51F ?	A520 ?	A521 ?	A522 ?	A523 ?	A524 ?	A525 ?	A526 ?	A527 ?	A528 ?	
A529 ?	A52A ?	A52B ?	A52C ?	A52D ?	A52E ?	A52F ?	A530 ?	A531 ?	A532 ?	
A533 ?	A534 ?	A535 ?	A536 ?	A537 ?	A538 ?	A539 ?	A53A ?	A53B ?	A53C ?	
A53D ?	A53E ?	A53F ?	A540 世	A541 丕	A542 且	A543 丘	A544 主	A545 乍	A546 乏	
A547 乎	A548 以	A549 付	A54A 仔	A54B 仕	A54C 他	A54D 仗	A54E 代	A54F 令	A550 仙	
A551 仞	A552 充	A553 兄	A554 冉	A555 冊	A556 冬	A557 凹	A558 出	A559 凸	A55A 刊	
A55B 加	A55C 功	A55D 包	A55E 匆	A55F 北	A560 匝	A561 仟	A562 半	A563 卉	A564 卡	
A565 占	A566 卯	A567 卮	A568 去	A569 可	A56A 古	A56B 右	A56C 召	A56D 叮	A56E 叩	
A56F 叨	A570 叼	A571 司	A572 叵	A573 叫	A574 另	A575 只	A576 史	A577 叱	A578 台	
A579 句	A57A 叭	A57B 叻	A57C 四	A57D 囚	A57E 外	A57F ?	A580 ?	A581 ?	A582 ?	
A583 ?	A584 ?	A585 ?	A586 ?	A587 ?	A588 ?	A589 ?	A58A ?	A58B ?	A58C ?	
